,Student,Milestone,Attempts
0,dva,M0,4
1,dva,M1,5
2,dva,M2,1
3,dva,M3,4
4,dva,M4,2
5,dva,M5,1
6,dva,M6,1
7,dva,M7,0
8,dva,M8,1
9,dva,M9,13
10,dva,M10,102
11,dva,M11,26
12,dva,M12,29
13,dva,M13,1
14,dva,M14,6
15,dva,M15,1
16,dva,M16,3
17,dva,M17,32
18,tea,M0,7
19,tea,M1,8
20,tea,M2,0
21,tea,M3,0
22,tea,M4,2
23,tea,M5,0
24,tea,M6,0
25,tea,M7,0
26,tea,M8,0
27,tea,M9,5
28,tea,M10,31
29,tea,M11,5
30,tea,M12,5
31,tea,M13,73
32,tea,M14,1
33,tea,M15,0
34,tea,M16,4
35,tea,M17,5
36,dpq,M0,1
37,dpq,M1,6
38,dpq,M2,1
39,dpq,M3,1
40,dpq,M4,2
41,dpq,M5,2
42,dpq,M6,1
43,dpq,M7,6
44,dpq,M8,1
45,dpq,M9,5
46,dpq,M10,9
47,dpq,M11,5
48,dpq,M12,5
49,dpq,M13,0
50,dpq,M14,3
51,dpq,M15,2
52,dpq,M16,14
53,dpq,M17,6
54,xon,M0,3
55,xon,M1,13
56,xon,M2,0
57,xon,M3,0
58,xon,M4,2
59,xon,M5,0
60,xon,M6,0
61,xon,M7,0
62,xon,M8,0
63,xon,M9,16
64,xon,M10,15
65,xon,M11,6
66,xon,M12,16
67,xon,M13,31
68,xon,M14,1
69,xon,M15,1
70,xon,M16,3
71,xon,M17,16
72,pzd,M0,1
73,pzd,M1,29
74,pzd,M2,1
75,pzd,M3,1
76,pzd,M4,0
77,pzd,M5,2
78,pzd,M6,1
79,pzd,M7,0
80,pzd,M8,1
81,pzd,M9,26
82,pzd,M10,43
83,pzd,M11,12
84,pzd,M12,19
85,pzd,M13,0
86,pzd,M14,7
87,pzd,M15,1
88,pzd,M16,16
89,pzd,M17,21
90,wha,M0,1
91,wha,M1,1
92,wha,M2,0
93,wha,M3,0
94,wha,M4,1
95,wha,M5,0
96,wha,M6,0
97,wha,M7,0
98,wha,M8,0
99,wha,M9,0
100,wha,M10,0
101,wha,M11,0
102,wha,M12,0
103,wha,M13,0
104,wha,M14,0
105,wha,M15,0
106,wha,M16,0
107,wha,M17,0
108,nnc,M0,1
109,nnc,M1,13
110,nnc,M2,1
111,nnc,M3,1
112,nnc,M4,0
113,nnc,M5,2
114,nnc,M6,3
115,nnc,M7,0
116,nnc,M8,1
117,nnc,M9,1
118,nnc,M10,17
119,nnc,M11,9
120,nnc,M12,1
121,nnc,M13,7
122,nnc,M14,16
123,nnc,M15,1
124,nnc,M16,1
125,nnc,M17,10
126,hao,M0,2
127,hao,M1,4
128,hao,M2,1
129,hao,M3,1
130,hao,M4,0
131,hao,M5,1
132,hao,M6,2
133,hao,M7,0
134,hao,M8,1
135,hao,M9,3
136,hao,M10,14
137,hao,M11,3
138,hao,M12,3
139,hao,M13,2
140,hao,M14,4
141,hao,M15,4
142,hao,M16,4
143,hao,M17,4
144,vxf,M0,3
145,vxf,M1,3
146,vxf,M2,1
147,vxf,M3,1
148,vxf,M4,0
149,vxf,M5,1
150,vxf,M6,6
151,vxf,M7,0
152,vxf,M8,1
153,vxf,M9,0
154,vxf,M10,0
155,vxf,M11,0
156,vxf,M12,0
157,vxf,M13,0
158,vxf,M14,0
159,vxf,M15,0
160,vxf,M16,0
161,vxf,M17,0
162,zbz,M0,2
163,zbz,M1,3
164,zbz,M2,1
165,zbz,M3,1
166,zbz,M4,9
167,zbz,M5,4
168,zbz,M6,2
169,zbz,M7,0
170,zbz,M8,1
171,zbz,M9,1
172,zbz,M10,8
173,zbz,M11,1
174,zbz,M12,9
175,zbz,M13,1
176,zbz,M14,6
177,zbz,M15,1
178,zbz,M16,6
179,zbz,M17,9
180,haf,M0,3
181,haf,M1,8
182,haf,M2,1
183,haf,M3,1
184,haf,M4,0
185,haf,M5,2
186,haf,M6,1
187,haf,M7,7
188,haf,M8,1
189,haf,M9,7
190,haf,M10,16
191,haf,M11,7
192,haf,M12,6
193,haf,M13,0
194,haf,M14,12
195,haf,M15,0
196,haf,M16,4
197,haf,M17,7
198,pgw,M0,0
199,pgw,M1,1
200,pgw,M2,1
201,pgw,M3,2
202,pgw,M4,0
203,pgw,M5,1
204,pgw,M6,20
205,pgw,M7,0
206,pgw,M8,1
207,pgw,M9,1
208,pgw,M10,44
209,pgw,M11,1
210,pgw,M12,1
211,pgw,M13,0
212,pgw,M14,4
213,pgw,M15,0
214,pgw,M16,5
215,pgw,M17,1
216,nro,M0,3
217,nro,M1,11
218,nro,M2,1
219,nro,M3,1
220,nro,M4,0
221,nro,M5,1
222,nro,M6,1
223,nro,M7,0
224,nro,M8,1
225,nro,M9,2
226,nro,M10,6
227,nro,M11,2
228,nro,M12,1
229,nro,M13,1
230,nro,M14,7
231,nro,M15,1
232,nro,M16,6
233,nro,M17,3
234,ynz,M0,1
235,ynz,M1,9
236,ynz,M2,1
237,ynz,M3,1
238,ynz,M4,3
239,ynz,M5,3
240,ynz,M6,1
241,ynz,M7,0
242,ynz,M8,1
243,ynz,M9,6
244,ynz,M10,17
245,ynz,M11,6
246,ynz,M12,1
247,ynz,M13,0
248,ynz,M14,5
249,ynz,M15,0
250,ynz,M16,7
251,ynz,M17,7
252,fic,M0,1
253,fic,M1,9
254,fic,M2,1
255,fic,M3,1
256,fic,M4,0
257,fic,M5,0
258,fic,M6,2
259,fic,M7,0
260,fic,M8,1
261,fic,M9,5
262,fic,M10,5
263,fic,M11,5
264,fic,M12,5
265,fic,M13,0
266,fic,M14,8
267,fic,M15,1
268,fic,M16,5
269,fic,M17,5
270,ibu,M0,1
271,ibu,M1,9
272,ibu,M2,1
273,ibu,M3,0
274,ibu,M4,1
275,ibu,M5,1
276,ibu,M6,1
277,ibu,M7,0
278,ibu,M8,1
279,ibu,M9,0
280,ibu,M10,7
281,ibu,M11,0
282,ibu,M12,0
283,ibu,M13,0
284,ibu,M14,11
285,ibu,M15,1
286,ibu,M16,1
287,ibu,M17,1
288,vkv,M0,2
289,vkv,M1,6
290,vkv,M2,0
291,vkv,M3,0
292,vkv,M4,0
293,vkv,M5,0
294,vkv,M6,0
295,vkv,M7,0
296,vkv,M8,0
297,vkv,M9,0
298,vkv,M10,3
299,vkv,M11,0
300,vkv,M12,0
301,vkv,M13,0
302,vkv,M14,0
303,vkv,M15,0
304,vkv,M16,0
305,vkv,M17,0
306,feu,M0,1
307,feu,M1,4
308,feu,M2,1
309,feu,M3,1
310,feu,M4,5
311,feu,M5,1
312,feu,M6,2
313,feu,M7,4
314,feu,M8,1
315,feu,M9,2
316,feu,M10,8
317,feu,M11,2
318,feu,M12,2
319,feu,M13,0
320,feu,M14,8
321,feu,M15,2
322,feu,M16,2
323,feu,M17,3
324,cjc,M0,1
325,cjc,M1,3
326,cjc,M2,1
327,cjc,M3,1
328,cjc,M4,0
329,cjc,M5,1
330,cjc,M6,5
331,cjc,M7,0
332,cjc,M8,1
333,cjc,M9,6
334,cjc,M10,23
335,cjc,M11,6
336,cjc,M12,6
337,cjc,M13,1
338,cjc,M14,10
339,cjc,M15,0
340,cjc,M16,13
341,cjc,M17,7
342,pyh,M0,1
343,pyh,M1,0
344,pyh,M2,1
