,Student,Milestone,Time
0,dva,M0,261
1,dva,M1,212
2,dva,M2,172
3,dva,M3,73
4,dva,M4,4
5,dva,M5,41
6,dva,M6,1512
7,dva,M7,0
8,dva,M8,475
9,dva,M9,2476
10,dva,M10,0
11,dva,M11,1014
12,dva,M12,248
13,dva,M13,611
14,dva,M14,211
15,dva,M15,0
16,dva,M16,146
17,dva,M17,0
18,tea,M0,446
19,tea,M1,2255
20,tea,M2,0
21,tea,M3,0
22,tea,M4,0
23,tea,M5,0
24,tea,M6,0
25,tea,M7,0
26,tea,M8,0
27,tea,M9,333
28,tea,M10,42
29,tea,M11,0
30,tea,M12,4116
31,tea,M13,0
32,tea,M14,0
33,tea,M15,0
34,tea,M16,0
35,tea,M17,0
36,dpq,M0,0
37,dpq,M1,0
38,dpq,M2,913
39,dpq,M3,0
40,dpq,M4,15
41,dpq,M5,2003
42,dpq,M6,36
43,dpq,M7,0
44,dpq,M8,863
45,dpq,M9,0
46,dpq,M10,0
47,dpq,M11,0
48,dpq,M12,65
49,dpq,M13,0
50,dpq,M14,427
51,dpq,M15,0
52,dpq,M16,153
53,dpq,M17,0
54,xon,M0,0
55,xon,M1,418
56,xon,M2,0
57,xon,M3,0
58,xon,M4,0
59,xon,M5,0
60,xon,M6,0
61,xon,M7,0
62,xon,M8,0
63,xon,M9,0
64,xon,M10,264
65,xon,M11,5607
66,xon,M12,357
67,xon,M13,0
68,xon,M14,0
69,xon,M15,603
70,xon,M16,220
71,xon,M17,0
72,pzd,M0,225
73,pzd,M1,0
74,pzd,M2,41
75,pzd,M3,0
76,pzd,M4,0
77,pzd,M5,42
78,pzd,M6,1511
79,pzd,M7,0
80,pzd,M8,40
81,pzd,M9,0
82,pzd,M10,0
83,pzd,M11,111
84,pzd,M12,146
85,pzd,M13,0
86,pzd,M14,252
87,pzd,M15,0
88,pzd,M16,442
89,pzd,M17,9873
90,wha,M0,252
91,wha,M1,1683
92,wha,M2,0
93,wha,M3,0
94,wha,M4,0
95,wha,M5,0
96,wha,M6,0
97,wha,M7,0
98,wha,M8,0
99,wha,M9,0
100,wha,M10,0
101,wha,M11,0
102,wha,M12,0
103,wha,M13,0
104,wha,M14,0
105,wha,M15,0
106,wha,M16,0
107,wha,M17,0
108,nnc,M0,520
109,nnc,M1,0
110,nnc,M2,99
111,nnc,M3,47
112,nnc,M4,0
113,nnc,M5,20
114,nnc,M6,611
115,nnc,M7,0
116,nnc,M8,63
117,nnc,M9,325
118,nnc,M10,0
119,nnc,M11,0
120,nnc,M12,111
121,nnc,M13,904
122,nnc,M14,147
123,nnc,M15,799
124,nnc,M16,122
125,nnc,M17,382
126,hao,M0,77
127,hao,M1,0
128,hao,M2,104
129,hao,M3,119
130,hao,M4,0
131,hao,M5,2371
132,hao,M6,0
133,hao,M7,0
134,hao,M8,15
135,hao,M9,0
136,hao,M10,0
137,hao,M11,0
138,hao,M12,0
139,hao,M13,194
140,hao,M14,0
141,hao,M15,0
142,hao,M16,175
143,hao,M17,0
144,vxf,M0,67
145,vxf,M1,0
146,vxf,M2,66
147,vxf,M3,47
148,vxf,M4,0
