,Student,Milestone,Time
0,vln,M0,261
1,vln,M1,212
2,vln,M2,172
3,vln,M3,73
4,vln,M4,0
5,vln,M5,41
6,vln,M6,1512
7,vln,M7,0
8,vln,M8,479
9,vln,M9,2476
10,vln,M10,0
11,vln,M11,1014
12,vln,M12,248
13,vln,M13,611
14,vln,M14,211
15,vln,M15,0
16,vln,M16,146
17,vln,M17,0
18,fep,M0,446
19,fep,M1,2255
20,fep,M2,0
21,fep,M3,0
22,fep,M4,0
23,fep,M5,0
24,fep,M6,0
25,fep,M7,0
26,fep,M8,0
27,fep,M9,333
28,fep,M10,42
29,fep,M11,0
30,fep,M12,4116
31,fep,M13,0
32,fep,M14,0
33,fep,M15,0
34,fep,M16,0
35,fep,M17,0
36,zgs,M0,0
37,zgs,M1,0
38,zgs,M2,913
39,zgs,M3,0
40,zgs,M4,0
41,zgs,M5,2003
42,zgs,M6,36
43,zgs,M7,0
44,zgs,M8,878
45,zgs,M9,0
46,zgs,M10,0
47,zgs,M11,0
48,zgs,M12,65
49,zgs,M13,0
50,zgs,M14,427
51,zgs,M15,0
52,zgs,M16,153
53,zgs,M17,0
54,xxt,M0,0
55,xxt,M1,418
56,xxt,M2,0
57,xxt,M3,0
58,xxt,M4,0
59,xxt,M5,0
60,xxt,M6,0
61,xxt,M7,0
62,xxt,M8,0
63,xxt,M9,0
64,xxt,M10,264
65,xxt,M11,5607
66,xxt,M12,357
67,xxt,M13,0
68,xxt,M14,0
69,xxt,M15,603
70,xxt,M16,220
71,xxt,M17,0
72,xmp,M0,225
73,xmp,M1,0
74,xmp,M2,41
75,xmp,M3,0
76,xmp,M4,0
77,xmp,M5,42
78,xmp,M6,1511
79,xmp,M7,0
80,xmp,M8,40
81,xmp,M9,0
82,xmp,M10,0
83,xmp,M11,111
84,xmp,M12,146
85,xmp,M13,0
86,xmp,M14,252
87,xmp,M15,0
88,xmp,M16,442
89,xmp,M17,9873
90,kjk,M0,252
91,kjk,M1,1683
92,kjk,M2,0
93,kjk,M3,0
94,kjk,M4,0
95,kjk,M5,0
96,kjk,M6,0
97,kjk,M7,0
98,kjk,M8,0
99,kjk,M9,0
100,kjk,M10,0
101,kjk,M11,0
102,kjk,M12,0
