,Student,Milestone,Time
103,kjk,M13,0
104,kjk,M14,0
105,kjk,M15,0
106,kjk,M16,0
107,kjk,M17,0
108,cif,M0,520
109,cif,M1,0
110,cif,M2,99
111,cif,M3,47
112,cif,M4,0
113,cif,M5,20
114,cif,M6,611
115,cif,M7,0
116,cif,M8,63
117,cif,M9,325
118,cif,M10,0
119,cif,M11,0
120,cif,M12,111
121,cif,M13,904
122,cif,M14,147
123,cif,M15,799
124,cif,M16,122
125,cif,M17,382
126,uoh,M0,77
127,uoh,M1,0
128,uoh,M2,104
129,uoh,M3,119
130,uoh,M4,0
131,uoh,M5,2371
132,uoh,M6,0
133,uoh,M7,0
134,uoh,M8,15
135,uoh,M9,0
136,uoh,M10,0
137,uoh,M11,0
138,uoh,M12,0
139,uoh,M13,194
140,uoh,M14,0
141,uoh,M15,0
142,uoh,M16,175
143,uoh,M17,0
144,xhg,M0,67
145,xhg,M1,0
146,xhg,M2,66
147,xhg,M3,47
148,xhg,M4,0
149,xhg,M5,223
150,xhg,M6,0
151,xhg,M7,0
152,xhg,M8,375
153,xhg,M9,0
154,xhg,M10,0
155,xhg,M11,0
156,xhg,M12,0
157,xhg,M13,0
158,xhg,M14,0
159,xhg,M15,0
160,xhg,M16,0
161,xhg,M17,0
162,jvg,M0,64
163,jvg,M1,0
164,jvg,M2,2068
165,jvg,M3,0
166,jvg,M4,0
167,jvg,M5,0
168,jvg,M6,15
169,jvg,M7,0
170,jvg,M8,140
171,jvg,M9,536
172,jvg,M10,213
173,jvg,M11,810
174,jvg,M12,0
175,jvg,M13,500
176,jvg,M14,471
177,jvg,M15,834
178,jvg,M16,970
179,jvg,M17,0
180,sja,M0,156
181,sja,M1,1117
182,sja,M2,207
183,sja,M3,1304
184,sja,M4,0
185,sja,M5,95
186,sja,M6,8056
187,sja,M7,0
188,sja,M8,192
189,sja,M9,0
190,sja,M10,0
191,sja,M11,0
192,sja,M12,312
193,sja,M13,0
194,sja,M14,20
195,sja,M15,0
196,sja,M16,0
197,sja,M17,0
198,nsv,M0,0
199,nsv,M1,0
200,nsv,M2,1159
201,nsv,M3,0
202,nsv,M4,0
203,nsv,M5,4388
204,nsv,M6,0
205,nsv,M7,0
206,nsv,M8,13
207,nsv,M9,0
208,nsv,M10,0
209,nsv,M11,0
210,nsv,M12,0
211,nsv,M13,0
212,nsv,M14,0
213,nsv,M15,0
214,nsv,M16,921
215,nsv,M17,0
216,oig,M0,15
217,oig,M1,0
218,oig,M2,27
219,oig,M3,49
220,oig,M4,0
221,oig,M5,24
222,oig,M6,1703
223,oig,M7,0
224,oig,M8,2
225,oig,M9,0
226,oig,M10,0
227,oig,M11,0
228,oig,M12,41
229,oig,M13,48
230,oig,M14,64
231,oig,M15,69
232,oig,M16,12
233,oig,M17,64
234,fev,M0,0
235,fev,M1,0
236,fev,M2,79
237,fev,M3,249
238,fev,M4,0
239,fev,M5,15
240,fev,M6,12
241,fev,M7,0
242,fev,M8,1641
243,fev,M9,0
244,fev,M10,0
245,fev,M11,0
246,fev,M12,105
247,fev,M13,0
248,fev,M14,158
249,fev,M15,0
250,fev,M16,575
251,fev,M17,0
252,vbf,M0,0
253,vbf,M1,0
254,vbf,M2,43
255,vbf,M3,31
256,vbf,M4,0
257,vbf,M5,0
258,vbf,M6,3109
259,vbf,M7,0
260,vbf,M8,59
261,vbf,M9,0
262,vbf,M10,0
263,vbf,M11,0
264,vbf,M12,0
265,vbf,M13,0
266,vbf,M14,151
267,vbf,M15,101
268,vbf,M16,17
269,vbf,M17,185
270,bus,M0,0
271,bus,M1,0
272,bus,M2,416
273,bus,M3,0
274,bus,M4,134
275,bus,M5,59
276,bus,M6,25
277,bus,M7,0
278,bus,M8,4093
279,bus,M9,0
280,bus,M10,0
281,bus,M11,0
282,bus,M12,0
283,bus,M13,0
284,bus,M14,191
285,bus,M15,24
286,bus,M16,1391
287,bus,M17,0
288,hdr,M0,72
289,hdr,M1,884
290,hdr,M2,0
291,hdr,M3,0
292,hdr,M4,0
293,hdr,M5,0
294,hdr,M6,0
295,hdr,M7,0
296,hdr,M8,0
297,hdr,M9,0
298,hdr,M10,0
299,hdr,M11,0
300,hdr,M12,0
301,hdr,M13,0
302,hdr,M14,0
303,hdr,M15,0
304,hdr,M16,0
305,hdr,M17,0
306,zrv,M0,0
307,zrv,M1,0
308,zrv,M2,357
309,zrv,M3,120
310,zrv,M4,0
311,zrv,M5,67
312,zrv,M6,189
313,zrv,M7,0
314,zrv,M8,2426
315,zrv,M9,0
316,zrv,M10,0
317,zrv,M11,0
318,zrv,M12,0
319,zrv,M13,0
320,zrv,M14,402
321,zrv,M15,797
322,zrv,M16,747
323,zrv,M17,-16
324,qbx,M0,0
325,qbx,M1,0
326,qbx,M2,184
327,qbx,M3,79
328,qbx,M4,0
329,qbx,M5,218
330,qbx,M6,2456
331,qbx,M7,0
332,qbx,M8,4
333,qbx,M9,0
334,qbx,M10,0
335,qbx,M11,0
336,qbx,M12,979
337,qbx,M13,1063
338,qbx,M14,2658
339,qbx,M15,0
340,qbx,M16,231
341,qbx,M17,0
342,rgj,M0,0
343,rgj,M1,0
344,rgj,M2,172
345,rgj,M3,0
346,rgj,M4,0
347,rgj,M5,148
348,rgj,M6,3754
349,rgj,M7,0
350,rgj,M8,34
351,rgj,M9,0
352,rgj,M10,0
353,rgj,M11,0
354,rgj,M12,0
355,rgj,M13,0
356,rgj,M14,259
357,rgj,M15,0
358,rgj,M16,197
359,rgj,M17,0
