,Student,Milestone,Attempts
203,nsv,M5,1
204,nsv,M6,20
205,nsv,M7,0
206,nsv,M8,1
207,nsv,M9,1
208,nsv,M10,44
209,nsv,M11,1
210,nsv,M12,1
211,nsv,M13,0
212,nsv,M14,4
213,nsv,M15,0
214,nsv,M16,5
215,nsv,M17,1
216,oig,M0,7
217,oig,M1,8
218,oig,M2,1
219,oig,M3,3
220,oig,M4,0
221,oig,M5,5
222,oig,M6,7
223,oig,M7,0
224,oig,M8,1
225,oig,M9,2
226,oig,M10,6
227,oig,M11,2
228,oig,M12,3
229,oig,M13,1
230,oig,M14,5
231,oig,M15,1
232,oig,M16,4
233,oig,M17,3
234,fev,M0,1
235,fev,M1,1
236,fev,M2,1
237,fev,M3,2
238,fev,M4,3
239,fev,M5,3
240,fev,M6,2
241,fev,M7,0
242,fev,M8,1
243,fev,M9,1
244,fev,M10,17
245,fev,M11,1
246,fev,M12,2
247,fev,M13,0
248,fev,M14,5
249,fev,M15,0
250,fev,M16,11
251,fev,M17,2
252,vbf,M0,3
253,vbf,M1,7
254,vbf,M2,1
255,vbf,M3,1
256,vbf,M4,0
257,vbf,M5,0
258,vbf,M6,2
259,vbf,M7,0
260,vbf,M8,1
261,vbf,M9,5
262,vbf,M10,5
263,vbf,M11,5
264,vbf,M12,5
265,vbf,M13,0
266,vbf,M14,8
267,vbf,M15,1
268,vbf,M16,5
269,vbf,M17,6
270,bus,M0,9
271,bus,M1,8
272,bus,M2,1
273,bus,M3,0
274,bus,M4,1
275,bus,M5,3
276,bus,M6,1
277,bus,M7,0
278,bus,M8,1
279,bus,M9,0
280,bus,M10,7
281,bus,M11,0
282,bus,M12,0
283,bus,M13,0
284,bus,M14,9
285,bus,M15,1
286,bus,M16,8
287,bus,M17,1
288,hdr,M0,7
289,hdr,M1,7
290,hdr,M2,0
291,hdr,M3,0
292,hdr,M4,0
293,hdr,M5,0
294,hdr,M6,0
295,hdr,M7,0
296,hdr,M8,0
297,hdr,M9,0
298,hdr,M10,2
299,hdr,M11,0
300,hdr,M12,0
301,hdr,M13,0
302,hdr,M14,0
303,hdr,M15,0
304,hdr,M16,0
305,hdr,M17,0
306,zrv,M0,2
307,zrv,M1,3
308,zrv,M2,1
309,zrv,M3,1
310,zrv,M4,5
311,zrv,M5,5
312,zrv,M6,8
313,zrv,M7,4
314,zrv,M8,1
315,zrv,M9,2
316,zrv,M10,8
317,zrv,M11,2
318,zrv,M12,2
319,zrv,M13,0
320,zrv,M14,8
321,zrv,M15,2
322,zrv,M16,13
323,zrv,M17,3
324,qbx,M0,1
325,qbx,M1,3
326,qbx,M2,1
327,qbx,M3,3
328,qbx,M4,0
329,qbx,M5,18
330,qbx,M6,5
331,qbx,M7,0
332,qbx,M8,1
333,qbx,M9,6
334,qbx,M10,22
335,qbx,M11,6
336,qbx,M12,7
337,qbx,M13,1
338,qbx,M14,26
339,qbx,M15,0
340,qbx,M16,7
341,qbx,M17,7
342,rgj,M0,1
343,rgj,M1,0
344,rgj,M2,1
345,rgj,M3,0
346,rgj,M4,1
347,rgj,M5,2
348,rgj,M6,17
349,rgj,M7,1
350,rgj,M8,1
351,rgj,M9,0
352,rgj,M10,6
353,rgj,M11,0
354,rgj,M12,0
355,rgj,M13,0
356,rgj,M14,3
357,rgj,M15,4
358,rgj,M16,2
359,rgj,M17,1
