,Student,Milestone,Attempts
0,vln,M0,9
1,vln,M1,34
2,vln,M2,1
3,vln,M3,5
4,vln,M4,2
5,vln,M5,1
6,vln,M6,1
7,vln,M7,0
8,vln,M8,1
9,vln,M9,26
10,vln,M10,102
11,vln,M11,26
12,vln,M12,26
13,vln,M13,1
14,vln,M14,5
15,vln,M15,0
16,vln,M16,5
17,vln,M17,26
18,fep,M0,7
19,fep,M1,11
20,fep,M2,0
21,fep,M3,0
22,fep,M4,2
23,fep,M5,0
24,fep,M6,0
25,fep,M7,0
26,fep,M8,0
27,fep,M9,5
28,fep,M10,49
29,fep,M11,4
30,fep,M12,5
31,fep,M13,69
32,fep,M14,1
33,fep,M15,0
34,fep,M16,1
35,fep,M17,4
36,zgs,M0,1
37,zgs,M1,5
38,zgs,M2,1
39,zgs,M3,1
40,zgs,M4,1
41,zgs,M5,2
42,zgs,M6,5
43,zgs,M7,6
44,zgs,M8,1
45,zgs,M9,5
46,zgs,M10,9
47,zgs,M11,5
48,zgs,M12,6
49,zgs,M13,0
50,zgs,M14,7
51,zgs,M15,2
52,zgs,M16,14
53,zgs,M17,6
54,xxt,M0,3
55,xxt,M1,11
56,xxt,M2,0
57,xxt,M3,0
58,xxt,M4,2
59,xxt,M5,0
60,xxt,M6,0
61,xxt,M7,0
62,xxt,M8,0
63,xxt,M9,8
64,xxt,M10,21
65,xxt,M11,9
66,xxt,M12,9
67,xxt,M13,19
68,xxt,M14,1
69,xxt,M15,1
70,xxt,M16,6
71,xxt,M17,8
72,xmp,M0,4
73,xmp,M1,22
74,xmp,M2,1
75,xmp,M3,1
76,xmp,M4,0
77,xmp,M5,2
78,xmp,M6,3
79,xmp,M7,0
80,xmp,M8,1
81,xmp,M9,20
82,xmp,M10,43
83,xmp,M11,21
84,xmp,M12,21
85,xmp,M13,0
86,xmp,M14,6
87,xmp,M15,1
88,xmp,M16,28
89,xmp,M17,21
90,kjk,M0,1
91,kjk,M1,1
92,kjk,M2,0
93,kjk,M3,0
94,kjk,M4,1
95,kjk,M5,0
96,kjk,M6,0
97,kjk,M7,0
98,kjk,M8,0
99,kjk,M9,0
100,kjk,M10,0
101,kjk,M11,0
102,kjk,M12,0
103,kjk,M13,0
104,kjk,M14,0
105,kjk,M15,0
106,kjk,M16,0
107,kjk,M17,0
108,cif,M0,4
109,cif,M1,11
110,cif,M2,1
111,cif,M3,1
112,cif,M4,0
113,cif,M5,6
114,cif,M6,10
115,cif,M7,0
116,cif,M8,1
117,cif,M9,9
118,cif,M10,17
119,cif,M11,8
120,cif,M12,9
121,cif,M13,7
122,cif,M14,16
123,cif,M15,1
124,cif,M16,19
125,cif,M17,9
126,uoh,M0,2
127,uoh,M1,4
128,uoh,M2,1
129,uoh,M3,1
130,uoh,M4,0
131,uoh,M5,1
132,uoh,M6,2
133,uoh,M7,0
134,uoh,M8,1
135,uoh,M9,3
136,uoh,M10,14
137,uoh,M11,3
138,uoh,M12,3
139,uoh,M13,2
140,uoh,M14,4
141,uoh,M15,4
142,uoh,M16,6
143,uoh,M17,4
144,xhg,M0,3
145,xhg,M1,2
146,xhg,M2,1
147,xhg,M3,1
148,xhg,M4,0
149,xhg,M5,2
150,xhg,M6,6
151,xhg,M7,0
152,xhg,M8,1
153,xhg,M9,0
154,xhg,M10,0
155,xhg,M11,0
156,xhg,M12,0
157,xhg,M13,0
158,xhg,M14,0
159,xhg,M15,0
160,xhg,M16,0
161,xhg,M17,0
162,jvg,M0,2
163,jvg,M1,1
164,jvg,M2,1
165,jvg,M3,1
166,jvg,M4,3
167,jvg,M5,3
168,jvg,M6,23
169,jvg,M7,0
170,jvg,M8,1
171,jvg,M9,10
172,jvg,M10,16
173,jvg,M11,10
174,jvg,M12,9
175,jvg,M13,1
176,jvg,M14,1
177,jvg,M15,1
178,jvg,M16,16
179,jvg,M17,9
180,sja,M0,7
181,sja,M1,14
182,sja,M2,1
183,sja,M3,2
184,sja,M4,0
185,sja,M5,7
186,sja,M6,3
187,sja,M7,7
188,sja,M8,1
189,sja,M9,6
190,sja,M10,12
191,sja,M11,6
192,sja,M12,7
193,sja,M13,0
194,sja,M14,12
195,sja,M15,0
196,sja,M16,4
197,sja,M17,6
198,nsv,M0,0
199,nsv,M1,1
200,nsv,M2,1
201,nsv,M3,2
202,nsv,M4,1
