,Student,Milestone,Time
284,ama,M12,18
285,ama,M13,241
286,ama,M14,0
287,ama,M15,62
288,ama,M16,9
289,tay,M0,0
290,tay,M1,154
291,tay,M2,0
292,tay,M3,18
293,tay,M4,353
294,tay,M5,282
295,tay,M6,0
296,tay,M7,418
297,tay,M8,0
298,tay,M9,0
299,tay,M10,50
300,tay,M11,591
301,tay,M12,0
302,tay,M13,391
303,tay,M14,0
304,tay,M15,0
305,tay,M16,2
306,bur,M0,0
307,bur,M1,160
308,bur,M2,111
309,bur,M3,160
310,bur,M4,96
311,bur,M5,362
312,bur,M6,0
313,bur,M7,13
314,bur,M8,0
315,bur,M9,877
316,bur,M10,95
317,bur,M11,281
318,bur,M12,50
319,bur,M13,77
320,bur,M14,0
321,bur,M15,666
322,bur,M16,25
323,bau,M0,0
324,bau,M1,0
325,bau,M2,119
326,bau,M3,0
327,bau,M4,454
328,bau,M5,88
329,bau,M6,0
330,bau,M7,0
331,bau,M8,0
332,bau,M9,0
333,bau,M10,0
334,bau,M11,87
335,bau,M12,0
336,bau,M13,447
337,bau,M14,0
338,bau,M15,0
339,bau,M16,0
340,bob,M0,0
341,bob,M1,172
342,bob,M2,97
343,bob,M3,37
344,bob,M4,190
345,bob,M5,30
346,bob,M6,0
347,bob,M7,16
348,bob,M8,0
349,bob,M9,322
350,bob,M10,38
351,bob,M11,797
352,bob,M12,0
353,bob,M13,156
354,bob,M14,0
355,bob,M15,39
356,bob,M16,28
357,cas,M0,0
358,cas,M1,75
359,cas,M2,24
360,cas,M3,48
361,cas,M4,41
362,cas,M5,32
363,cas,M6,0
364,cas,M7,0
365,cas,M8,155
366,cas,M9,222
367,cas,M10,20
368,cas,M11,202
369,cas,M12,5
370,cas,M13,423
371,cas,M14,0
372,cas,M15,38
373,cas,M16,228
374,tai,M0,0
375,tai,M1,332
376,tai,M2,32
377,tai,M3,23
378,tai,M4,154
379,tai,M5,744
380,tai,M6,0
381,tai,M7,60
382,tai,M8,89
383,tai,M9,0
