,Student,Milestone,Attempts
282,jno,M10,1
283,jno,M11,1
284,jno,M12,1
285,jno,M13,6
286,jno,M14,1
287,jno,M15,0
288,jno,M16,1
289,dra,M0,1
290,dra,M1,3
291,dra,M2,1
292,dra,M3,3
293,dra,M4,0
294,dra,M5,1
295,dra,M6,3
296,dra,M7,1
297,dra,M8,11
298,dra,M9,1
299,dra,M10,2
300,dra,M11,1
301,dra,M12,1
302,dra,M13,5
303,dra,M14,5
304,dra,M15,1
305,dra,M16,6
306,dag,M0,3
307,dag,M1,2
308,dag,M2,1
309,dag,M3,2
310,dag,M4,1
311,dag,M5,1
312,dag,M6,2
313,dag,M7,0
314,dag,M8,5
315,dag,M9,1
316,dag,M10,0
317,dag,M11,1
318,dag,M12,1
319,dag,M13,3
320,dag,M14,1
321,dag,M15,1
322,dag,M16,1
323,fin,M0,5
324,fin,M1,1
325,fin,M2,1
326,fin,M3,1
327,fin,M4,4
328,fin,M5,0
329,fin,M6,1
330,fin,M7,4
331,fin,M8,22
332,fin,M9,13
333,fin,M10,2
334,fin,M11,2
335,fin,M12,1
336,fin,M13,1
337,fin,M14,0
338,fin,M15,1
339,fin,M16,2
340,com,M0,4
341,com,M1,1
342,com,M2,1
343,com,M3,1
344,com,M4,0
345,com,M5,7
346,com,M6,1
347,com,M7,1
348,com,M8,3
349,com,M9,0
350,com,M10,0
351,com,M11,0
352,com,M12,0
353,com,M13,1
354,com,M14,0
355,com,M15,0
356,com,M16,0
357,art,M0,2
358,art,M1,6
359,art,M2,1
360,art,M3,5
361,art,M4,1
362,art,M5,1
363,art,M6,5
364,art,M7,1
365,art,M8,9
366,art,M9,0
367,art,M10,3
368,art,M11,3
369,art,M12,2
370,art,M13,6
371,art,M14,5
372,art,M15,2
373,art,M16,5
374,ama,M0,3
375,ama,M1,4
376,ama,M2,1
377,ama,M3,4
378,ama,M4,3
379,ama,M5,1
380,ama,M6,4
381,ama,M7,3
382,ama,M8,16
383,ama,M9,9
384,ama,M10,1
385,ama,M11,1
386,ama,M12,1
387,ama,M13,4
388,ama,M14,1
389,ama,M15,1
390,ama,M16,1
391,bur,M0,3
392,bur,M1,5
393,bur,M2,1
394,bur,M3,5
395,bur,M4,1
396,bur,M5,1
397,bur,M6,5
398,bur,M7,1
399,bur,M8,15
400,bur,M9,1
401,bur,M10,1
402,bur,M11,1
403,bur,M12,1
