,Student,Milestone,Attempts
261,ilm,M9,0
262,ilm,M10,0
263,ilm,M11,0
264,ilm,M12,0
265,ilm,M13,0
266,ilm,M14,0
267,ilm,M15,0
268,ilm,M16,4
269,ilm,M17,2
270,jtx,M0,10
271,jtx,M1,0
272,jtx,M2,4
273,jtx,M3,0
274,jtx,M4,3
275,jtx,M5,3
276,jtx,M6,5
277,jtx,M7,0
278,jtx,M8,5
279,jtx,M9,0
280,jtx,M10,0
281,jtx,M11,0
282,jtx,M12,0
283,jtx,M13,0
284,jtx,M14,2
285,jtx,M15,0
286,jtx,M16,6
287,jtx,M17,2
288,dmj,M0,7
289,dmj,M1,3
290,dmj,M2,0
291,dmj,M3,0
292,dmj,M4,0
293,dmj,M5,0
294,dmj,M6,0
295,dmj,M7,0
296,dmj,M8,0
297,dmj,M9,0
298,dmj,M10,0
299,dmj,M11,0
300,dmj,M12,0
301,dmj,M13,0
302,dmj,M14,0
303,dmj,M15,0
304,dmj,M16,0
305,dmj,M17,0
306,vvj,M0,3
307,vvj,M1,0
308,vvj,M2,2
309,vvj,M3,4
310,vvj,M4,0
311,vvj,M5,3
312,vvj,M6,12
313,vvj,M7,0
314,vvj,M8,7
315,vvj,M9,0
316,vvj,M10,0
317,vvj,M11,0
318,vvj,M12,0
319,vvj,M13,0
320,vvj,M14,0
321,vvj,M15,0
322,vvj,M16,0
323,vvj,M17,2
324,ist,M0,1
325,ist,M1,0
326,ist,M2,2
327,ist,M3,3
328,ist,M4,2
329,ist,M5,5
330,ist,M6,7
331,ist,M7,0
332,ist,M8,6
333,ist,M9,0
334,ist,M10,2
335,ist,M11,0
336,ist,M12,0
337,ist,M13,9
338,ist,M14,25
339,ist,M15,0
340,ist,M16,0
341,ist,M17,2
342,les,M0,1
343,les,M1,0
344,les,M2,4
345,les,M3,0
346,les,M4,5
347,les,M5,13
348,les,M6,25
349,les,M7,0
350,les,M8,21
351,les,M9,0
352,les,M10,0
353,les,M11,0
354,les,M12,0
355,les,M13,0
356,les,M14,0
357,les,M15,0
358,les,M16,6
359,les,M17,2
