,Student,Milestone,Time
0,wpj,M0,0
1,wpj,M1,511
2,wpj,M2,539
3,wpj,M3,37
4,wpj,M4,4
5,wpj,M5,41
6,wpj,M6,67
7,wpj,M7,0
8,wpj,M8,1445
9,wpj,M9,2476
10,wpj,M10,0
11,wpj,M11,1114
12,wpj,M12,0
13,wpj,M13,822
14,wpj,M14,0
15,wpj,M15,0
16,wpj,M16,294
17,wpj,M17,0
18,ldq,M0,0
19,ldq,M1,0
20,ldq,M2,0
21,ldq,M3,0
22,ldq,M4,0
23,ldq,M5,0
24,ldq,M6,0
25,ldq,M7,0
26,ldq,M8,0
27,ldq,M9,0
28,ldq,M10,0
29,ldq,M11,0
30,ldq,M12,0
31,ldq,M13,0
32,ldq,M14,0
33,ldq,M15,0
34,ldq,M16,0
35,ldq,M17,0
36,wiq,M0,0
37,wiq,M1,0
38,wiq,M2,340
39,wiq,M3,0
40,wiq,M4,2324
41,wiq,M5,28
42,wiq,M6,36
43,wiq,M7,0
44,wiq,M8,296
45,wiq,M9,0
46,wiq,M10,0
47,wiq,M11,0
48,wiq,M12,0
49,wiq,M13,0
50,wiq,M14,0
51,wiq,M15,0
52,wiq,M16,0
53,wiq,M17,0
54,yvh,M0,0
55,yvh,M1,6182
56,yvh,M2,0
57,yvh,M3,0
58,yvh,M4,0
59,yvh,M5,0
60,yvh,M6,0
61,yvh,M7,0
62,yvh,M8,0
63,yvh,M9,0
64,yvh,M10,0
65,yvh,M11,0
66,yvh,M12,0
67,yvh,M13,0
68,yvh,M14,0
69,yvh,M15,0
70,yvh,M16,0
71,yvh,M17,0
72,wau,M0,0
73,wau,M1,0
74,wau,M2,1150
75,wau,M3,0
76,wau,M4,40
77,wau,M5,42
78,wau,M6,46
79,wau,M7,0
80,wau,M8,1465
81,wau,M9,0
82,wau,M10,0
83,wau,M11,951
84,wau,M12,0
85,wau,M13,0
86,wau,M14,0
87,wau,M15,0
88,wau,M16,0
89,wau,M17,9873
90,awn,M0,0
91,awn,M1,0
92,awn,M2,0
93,awn,M3,0
94,awn,M4,0
95,awn,M5,0
96,awn,M6,0
97,awn,M7,0
98,awn,M8,0
99,awn,M9,0
100,awn,M10,0
101,awn,M11,0
102,awn,M12,0
103,awn,M13,0
104,awn,M14,0
105,awn,M15,0
106,awn,M16,0
107,awn,M17,0
108,avc,M0,0
109,avc,M1,0
110,avc,M2,1436
111,avc,M3,16
112,avc,M4,23
113,avc,M5,62
114,avc,M6,8
115,avc,M7,0
116,avc,M8,691
117,avc,M9,0
118,avc,M10,0
119,avc,M11,0
120,avc,M12,111
121,avc,M13,1051
122,avc,M14,0
123,avc,M15,799
124,avc,M16,0
125,avc,M17,382
126,fab,M0,0
127,fab,M1,0
128,fab,M2,182
129,fab,M3,134
130,fab,M4,0
131,fab,M5,27
132,fab,M6,10
133,fab,M7,0
134,fab,M8,2317
135,fab,M9,0
136,fab,M10,43
137,fab,M11,0
138,fab,M12,0
139,fab,M13,194
140,fab,M14,0
141,fab,M15,0
142,fab,M16,149
143,fab,M17,0
144,qnw,M0,0
145,qnw,M1,0
146,qnw,M2,494
147,qnw,M3,47
148,qnw,M4,0
149,qnw,M5,30
150,qnw,M6,77
151,qnw,M7,0
152,qnw,M8,116
153,qnw,M9,0
154,qnw,M10,0
155,qnw,M11,0
156,qnw,M12,0
157,qnw,M13,0
158,qnw,M14,0
159,qnw,M15,0
160,qnw,M16,0
161,qnw,M17,0
162,oqj,M0,0
163,oqj,M1,0
164,oqj,M2,5459
165,oqj,M3,0
166,oqj,M4,0
167,oqj,M5,0
168,oqj,M6,1438
169,oqj,M7,0
170,oqj,M8,140
171,oqj,M9,0
172,oqj,M10,0
173,oqj,M11,0
174,oqj,M12,0
175,oqj,M13,769
176,oqj,M14,174
177,oqj,M15,0
178,oqj,M16,0
179,oqj,M17,0
180,urx,M0,0
181,urx,M1,0
182,urx,M2,559
183,urx,M3,1304
184,urx,M4,0
185,urx,M5,95
186,urx,M6,295
187,urx,M7,0
188,urx,M8,8093
189,urx,M9,0
190,urx,M10,94
191,urx,M11,0
192,urx,M12,0
193,urx,M13,0
194,urx,M14,0
195,urx,M15,0
196,urx,M16,0
197,urx,M17,0
198,gmd,M0,0
199,gmd,M1,0
200,gmd,M2,1159
201,gmd,M3,0
202,gmd,M4,0
203,gmd,M5,171
204,gmd,M6,329
205,gmd,M7,0
206,gmd,M8,4809
207,gmd,M9,0
208,gmd,M10,0
209,gmd,M11,0
210,gmd,M12,0
211,gmd,M13,0
212,gmd,M14,0
213,gmd,M15,0
214,gmd,M16,0
215,gmd,M17,0
216,qoy,M0,0
217,qoy,M1,0
218,qoy,M2,177
219,qoy,M3,49
220,qoy,M4,2
221,qoy,M5,24
222,qoy,M6,62
223,qoy,M7,0
224,qoy,M8,1686
225,qoy,M9,0
226,qoy,M10,0
227,qoy,M11,0
228,qoy,M12,0
229,qoy,M13,189
230,qoy,M14,0
231,qoy,M15,0
232,qoy,M16,0
233,qoy,M17,64
234,wiz,M0,0
235,wiz,M1,0
236,wiz,M2,787
237,wiz,M3,249
238,wiz,M4,0
239,wiz,M5,15
240,wiz,M6,12
241,wiz,M7,0
242,wiz,M8,2479
243,wiz,M9,0
244,wiz,M10,0
245,wiz,M11,0
246,wiz,M12,0
247,wiz,M13,0
248,wiz,M14,0
249,wiz,M15,0
250,wiz,M16,0
251,wiz,M17,0
252,ilm,M0,0
253,ilm,M1,0
254,ilm,M2,750
255,ilm,M3,31
256,ilm,M4,33
257,ilm,M5,0
258,ilm,M6,1541
259,ilm,M7,0
260,ilm,M8,1745
261,ilm,M9,0
262,ilm,M10,0
263,ilm,M11,0
264,ilm,M12,0
265,ilm,M13,0
266,ilm,M14,0
267,ilm,M15,0
268,ilm,M16,118
269,ilm,M17,185
270,jtx,M0,0
271,jtx,M1,0
272,jtx,M2,1045
273,jtx,M3,0
274,jtx,M4,134
275,jtx,M5,59
276,jtx,M6,25
277,jtx,M7,0
278,jtx,M8,4117
279,jtx,M9,0
280,jtx,M10,0
281,jtx,M11,0
282,jtx,M12,0
283,jtx,M13,0
284,jtx,M14,191
285,jtx,M15,0
286,jtx,M16,1391
287,jtx,M17,0
288,dmj,M0,72
289,dmj,M1,0
290,dmj,M2,0
291,dmj,M3,0
292,dmj,M4,0
293,dmj,M5,0
294,dmj,M6,0
295,dmj,M7,0
296,dmj,M8,0
297,dmj,M9,0
298,dmj,M10,0
299,dmj,M11,0
300,dmj,M12,0
301,dmj,M13,0
302,dmj,M14,0
303,dmj,M15,0
304,dmj,M16,0
305,dmj,M17,0
306,vvj,M0,0
307,vvj,M1,0
308,vvj,M2,514
309,vvj,M3,120
310,vvj,M4,0
311,vvj,M5,52
312,vvj,M6,204
313,vvj,M7,0
314,vvj,M8,4372
315,vvj,M9,0
316,vvj,M10,0
317,vvj,M11,0
318,vvj,M12,0
319,vvj,M13,0
320,vvj,M14,0
321,vvj,M15,0
322,vvj,M16,0
323,vvj,M17,-16
324,ist,M0,0
325,ist,M1,0
326,ist,M2,460
327,ist,M3,2490
328,ist,M4,4
329,ist,M5,53
330,ist,M6,71
331,ist,M7,0
332,ist,M8,294
333,ist,M9,0
334,ist,M10,124
335,ist,M11,0
336,ist,M12,0
337,ist,M13,1565
338,ist,M14,3008
339,ist,M15,0
340,ist,M16,0
341,ist,M17,0
342,les,M0,0
343,les,M1,0
344,les,M2,2954
345,les,M3,0
346,les,M4,116
347,les,M5,4045
348,les,M6,3
349,les,M7,0
350,les,M8,34
351,les,M9,0
352,les,M10,0
353,les,M11,0
354,les,M12,0
355,les,M13,0
356,les,M14,0
357,les,M15,0
358,les,M16,197
359,les,M17,0
