,Student,Milestone,Time
0,tfr,M0,261
1,tfr,M1,212
2,tfr,M2,172
3,tfr,M3,73
4,tfr,M4,265
5,tfr,M5,41
6,tfr,M6,1512
7,tfr,M7,0
8,tfr,M8,479
9,tfr,M9,2211
10,tfr,M10,0
11,tfr,M11,1014
12,tfr,M12,248
13,tfr,M13,611
14,tfr,M14,211
15,tfr,M15,0
16,tfr,M16,146
17,tfr,M17,0
18,pfc,M0,446
19,pfc,M1,2255
20,pfc,M2,0
21,pfc,M3,0
22,pfc,M4,0
23,pfc,M5,0
24,pfc,M6,0
25,pfc,M7,0
26,pfc,M8,0
27,pfc,M9,333
28,pfc,M10,42
29,pfc,M11,0
30,pfc,M12,4116
31,pfc,M13,0
32,pfc,M14,0
33,pfc,M15,0
34,pfc,M16,0
35,pfc,M17,0
36,hna,M0,0
37,hna,M1,0
38,hna,M2,913
39,hna,M3,0
40,hna,M4,0
41,hna,M5,2003
42,hna,M6,36
43,hna,M7,0
44,hna,M8,878
45,hna,M9,0
46,hna,M10,0
47,hna,M11,0
48,hna,M12,65
49,hna,M13,0
50,hna,M14,427
51,hna,M15,0
52,hna,M16,153
53,hna,M17,0
54,ded,M0,0
55,ded,M1,418
56,ded,M2,0
57,ded,M3,0
58,ded,M4,0
59,ded,M5,0
60,ded,M6,0
61,ded,M7,0
62,ded,M8,0
63,ded,M9,0
64,ded,M10,264
65,ded,M11,5607
66,ded,M12,357
67,ded,M13,0
68,ded,M14,0
69,ded,M15,603
70,ded,M16,220
71,ded,M17,0
72,ktf,M0,225
73,ktf,M1,0
74,ktf,M2,41
75,ktf,M3,0
76,ktf,M4,0
77,ktf,M5,42
78,ktf,M6,1511
79,ktf,M7,0
80,ktf,M8,40
81,ktf,M9,0
82,ktf,M10,0
83,ktf,M11,111
84,ktf,M12,146
85,ktf,M13,0
86,ktf,M14,252
87,ktf,M15,0
88,ktf,M16,442
89,ktf,M17,9873
90,eqx,M0,252
91,eqx,M1,1683
92,eqx,M2,0
93,eqx,M3,0
94,eqx,M4,0
95,eqx,M5,0
96,eqx,M6,0
97,eqx,M7,0
98,eqx,M8,0
99,eqx,M9,0
100,eqx,M10,0
101,eqx,M11,0
102,eqx,M12,0
103,eqx,M13,0
104,eqx,M14,0
105,eqx,M15,0
106,eqx,M16,0
107,eqx,M17,0
108,kyx,M0,520
109,kyx,M1,0
110,kyx,M2,99
111,kyx,M3,47
112,kyx,M4,0
113,kyx,M5,20
114,kyx,M6,611
115,kyx,M7,0
116,kyx,M8,63
117,kyx,M9,325
118,kyx,M10,0
119,kyx,M11,0
120,kyx,M12,111
121,kyx,M13,904
122,kyx,M14,147
123,kyx,M15,799
