,Student,Milestone,Attempts
0,tfr,M0,9
1,tfr,M1,34
2,tfr,M2,1
3,tfr,M3,5
4,tfr,M4,3
5,tfr,M5,1
6,tfr,M6,1
7,tfr,M7,0
8,tfr,M8,1
9,tfr,M9,26
10,tfr,M10,102
11,tfr,M11,26
12,tfr,M12,26
13,tfr,M13,1
14,tfr,M14,5
15,tfr,M15,0
16,tfr,M16,5
17,tfr,M17,26
18,pfc,M0,7
19,pfc,M1,11
20,pfc,M2,0
21,pfc,M3,0
22,pfc,M4,2
23,pfc,M5,0
24,pfc,M6,0
25,pfc,M7,0
26,pfc,M8,0
27,pfc,M9,5
28,pfc,M10,49
29,pfc,M11,4
30,pfc,M12,5
31,pfc,M13,69
32,pfc,M14,1
33,pfc,M15,0
34,pfc,M16,1
35,pfc,M17,4
36,hna,M0,1
37,hna,M1,5
38,hna,M2,1
39,hna,M3,1
40,hna,M4,1
41,hna,M5,2
42,hna,M6,5
43,hna,M7,6
44,hna,M8,1
45,hna,M9,5
46,hna,M10,9
47,hna,M11,5
48,hna,M12,6
49,hna,M13,0
50,hna,M14,7
51,hna,M15,2
52,hna,M16,14
53,hna,M17,6
54,ded,M0,3
55,ded,M1,11
56,ded,M2,0
57,ded,M3,0
58,ded,M4,2
59,ded,M5,0
60,ded,M6,0
61,ded,M7,0
62,ded,M8,0
63,ded,M9,8
64,ded,M10,21
65,ded,M11,9
66,ded,M12,9
67,ded,M13,19
68,ded,M14,1
69,ded,M15,1
70,ded,M16,6
71,ded,M17,8
72,ktf,M0,4
73,ktf,M1,22
74,ktf,M2,1
75,ktf,M3,1
76,ktf,M4,0
77,ktf,M5,2
78,ktf,M6,3
79,ktf,M7,0
80,ktf,M8,1
81,ktf,M9,20
82,ktf,M10,43
83,ktf,M11,21
84,ktf,M12,21
85,ktf,M13,0
86,ktf,M14,6
87,ktf,M15,1
88,ktf,M16,28
89,ktf,M17,21
90,eqx,M0,1
91,eqx,M1,1
92,eqx,M2,0
93,eqx,M3,0
94,eqx,M4,1
95,eqx,M5,0
96,eqx,M6,0
97,eqx,M7,0
98,eqx,M8,0
99,eqx,M9,0
100,eqx,M10,0
101,eqx,M11,0
102,eqx,M12,0
103,eqx,M13,0
104,eqx,M14,0
105,eqx,M15,0
106,eqx,M16,0
107,eqx,M17,0
108,kyx,M0,4
109,kyx,M1,11
110,kyx,M2,1
111,kyx,M3,1
112,kyx,M4,0
113,kyx,M5,6
114,kyx,M6,10
115,kyx,M7,0
116,kyx,M8,1
117,kyx,M9,9
118,kyx,M10,17
119,kyx,M11,8
120,kyx,M12,9
121,kyx,M13,7
122,kyx,M14,16
123,kyx,M15,1
124,kyx,M16,19
125,kyx,M17,9
126,mwy,M0,2
127,mwy,M1,4
128,mwy,M2,1
129,mwy,M3,1
130,mwy,M4,0
131,mwy,M5,1
132,mwy,M6,2
133,mwy,M7,0
134,mwy,M8,1
135,mwy,M9,3
136,mwy,M10,14
137,mwy,M11,3
138,mwy,M12,3
139,mwy,M13,2
140,mwy,M14,4
141,mwy,M15,4
142,mwy,M16,6
143,mwy,M17,4
144,gci,M0,3
145,gci,M1,2
146,gci,M2,1
147,gci,M3,1
148,gci,M4,0
149,gci,M5,2
150,gci,M6,6
151,gci,M7,0
152,gci,M8,1
153,gci,M9,0
154,gci,M10,0
155,gci,M11,0
156,gci,M12,0
157,gci,M13,0
158,gci,M14,0
159,gci,M15,0
160,gci,M16,0
161,gci,M17,0
162,fbn,M0,2
163,fbn,M1,1
164,fbn,M2,1
165,fbn,M3,1
166,fbn,M4,3
167,fbn,M5,3
168,fbn,M6,23
169,fbn,M7,0
170,fbn,M8,1
171,fbn,M9,10
172,fbn,M10,16
173,fbn,M11,10
174,fbn,M12,9
175,fbn,M13,1
176,fbn,M14,1
177,fbn,M15,1
178,fbn,M16,16
179,fbn,M17,9
180,alp,M0,7
181,alp,M1,14
182,alp,M2,1
183,alp,M3,2
184,alp,M4,0
185,alp,M5,7
186,alp,M6,3
187,alp,M7,7
188,alp,M8,1
189,alp,M9,6
190,alp,M10,12
191,alp,M11,6
192,alp,M12,7
193,alp,M13,0
194,alp,M14,12
195,alp,M15,0
196,alp,M16,4
197,alp,M17,6
198,dzi,M0,0
199,dzi,M1,1
200,dzi,M2,1
201,dzi,M3,2
202,dzi,M4,1
203,dzi,M5,1
204,dzi,M6,20
205,dzi,M7,0
206,dzi,M8,1
207,dzi,M9,1
208,dzi,M10,44
209,dzi,M11,1
210,dzi,M12,1
211,dzi,M13,0
212,dzi,M14,4
213,dzi,M15,0
214,dzi,M16,5
215,dzi,M17,1
216,fld,M0,7
217,fld,M1,8
218,fld,M2,1
219,fld,M3,3
220,fld,M4,0
221,fld,M5,5
222,fld,M6,7
223,fld,M7,0
224,fld,M8,1
225,fld,M9,2
226,fld,M10,6
227,fld,M11,2
228,fld,M12,3
229,fld,M13,1
230,fld,M14,5
231,fld,M15,1
232,fld,M16,4
233,fld,M17,3
234,jqz,M0,1
235,jqz,M1,1
236,jqz,M2,1
237,jqz,M3,2
238,jqz,M4,3
239,jqz,M5,3
240,jqz,M6,2
