,Student,Milestone,Time
0,ojo,M0,261
1,ojo,M1,212
2,ojo,M2,172
3,ojo,M3,73
4,ojo,M4,0
5,ojo,M5,41
6,ojo,M6,1512
7,ojo,M7,0
8,ojo,M8,479
9,ojo,M9,2476
10,ojo,M10,0
11,ojo,M11,1014
12,ojo,M12,248
13,ojo,M13,611
14,ojo,M14,211
15,ojo,M15,0
16,ojo,M16,146
17,ojo,M17,0
18,jee,M0,446
19,jee,M1,2255
20,jee,M2,0
21,jee,M3,0
22,jee,M4,0
23,jee,M5,0
24,jee,M6,0
25,jee,M7,0
26,jee,M8,0
27,jee,M9,333
28,jee,M10,42
29,jee,M11,0
30,jee,M12,4116
31,jee,M13,0
32,jee,M14,0
33,jee,M15,0
34,jee,M16,0
35,jee,M17,0
36,vwj,M0,0
37,vwj,M1,0
38,vwj,M2,913
39,vwj,M3,0
40,vwj,M4,0
41,vwj,M5,2003
42,vwj,M6,36
43,vwj,M7,0
44,vwj,M8,878
45,vwj,M9,0
46,vwj,M10,0
47,vwj,M11,0
48,vwj,M12,65
49,vwj,M13,0
50,vwj,M14,427
51,vwj,M15,0
52,vwj,M16,153
53,vwj,M17,0
54,dkl,M0,0
55,dkl,M1,418
56,dkl,M2,0
57,dkl,M3,0
58,dkl,M4,0
59,dkl,M5,0
60,dkl,M6,0
61,dkl,M7,0
62,dkl,M8,0
63,dkl,M9,0
64,dkl,M10,264
65,dkl,M11,5607
66,dkl,M12,357
67,dkl,M13,0
68,dkl,M14,0
69,dkl,M15,603
70,dkl,M16,220
71,dkl,M17,0
72,kzb,M0,225
73,kzb,M1,0
74,kzb,M2,41
75,kzb,M3,0
76,kzb,M4,0
77,kzb,M5,42
78,kzb,M6,1511
79,kzb,M7,0
80,kzb,M8,40
81,kzb,M9,0
82,kzb,M10,0
83,kzb,M11,111
84,kzb,M12,146
85,kzb,M13,0
86,kzb,M14,252
87,kzb,M15,0
88,kzb,M16,442
89,kzb,M17,9873
90,upj,M0,252
91,upj,M1,1683
92,upj,M2,0
93,upj,M3,0
94,upj,M4,0
95,upj,M5,0
96,upj,M6,0
97,upj,M7,0
98,upj,M8,0
99,upj,M9,0
100,upj,M10,0
101,upj,M11,0
102,upj,M12,0
103,upj,M13,0
104,upj,M14,0
105,upj,M15,0
106,upj,M16,0
107,upj,M17,0
108,uhu,M0,520
109,uhu,M1,0
110,uhu,M2,99
111,uhu,M3,47
112,uhu,M4,0
113,uhu,M5,20
114,uhu,M6,611
115,uhu,M7,0
116,uhu,M8,63
117,uhu,M9,325
118,uhu,M10,0
119,uhu,M11,0
120,uhu,M12,111
121,uhu,M13,904
122,uhu,M14,147
123,uhu,M15,799
124,uhu,M16,122
125,uhu,M17,382
126,aqk,M0,77
127,aqk,M1,0
128,aqk,M2,104
129,aqk,M3,119
130,aqk,M4,0
131,aqk,M5,2371
132,aqk,M6,0
133,aqk,M7,0
134,aqk,M8,15
135,aqk,M9,0
136,aqk,M10,0
137,aqk,M11,0
138,aqk,M12,0
139,aqk,M13,194
140,aqk,M14,0
141,aqk,M15,0
142,aqk,M16,175
143,aqk,M17,0
144,vyn,M0,67
145,vyn,M1,0
146,vyn,M2,66
147,vyn,M3,47
148,vyn,M4,0
149,vyn,M5,223
