,Student,Milestone,Attempts
0,ojo,M0,10
1,ojo,M1,36
2,ojo,M2,2
3,ojo,M3,6
4,ojo,M4,2
5,ojo,M5,2
6,ojo,M6,2
7,ojo,M7,0
8,ojo,M8,2
9,ojo,M9,27
10,ojo,M10,102
11,ojo,M11,28
12,ojo,M12,29
13,ojo,M13,2
14,ojo,M14,7
15,ojo,M15,0
16,ojo,M16,7
17,ojo,M17,30
18,jee,M0,8
19,jee,M1,13
20,jee,M2,0
21,jee,M3,0
22,jee,M4,2
23,jee,M5,0
24,jee,M6,0
25,jee,M7,0
26,jee,M8,0
27,jee,M9,6
28,jee,M10,50
29,jee,M11,5
30,jee,M12,7
31,jee,M13,73
32,jee,M14,2
33,jee,M15,0
34,jee,M16,3
35,jee,M17,6
36,vwj,M0,2
37,vwj,M1,6
38,vwj,M2,2
39,vwj,M3,1
40,vwj,M4,1
41,vwj,M5,3
42,vwj,M6,6
43,vwj,M7,6
44,vwj,M8,2
45,vwj,M9,5
46,vwj,M10,9
47,vwj,M11,5
48,vwj,M12,7
49,vwj,M13,0
50,vwj,M14,8
51,vwj,M15,2
52,vwj,M16,15
53,vwj,M17,8
54,dkl,M0,3
55,dkl,M1,12
56,dkl,M2,0
57,dkl,M3,0
58,dkl,M4,2
59,dkl,M5,0
60,dkl,M6,0
61,dkl,M7,0
62,dkl,M8,0
63,dkl,M9,9
64,dkl,M10,22
65,dkl,M11,11
66,dkl,M12,12
67,dkl,M13,22
68,dkl,M14,1
69,dkl,M15,2
70,dkl,M16,8
71,dkl,M17,11
72,kzb,M0,5
73,kzb,M1,23
74,kzb,M2,2
75,kzb,M3,1
76,kzb,M4,0
77,kzb,M5,3
78,kzb,M6,4
79,kzb,M7,0
80,kzb,M8,2
81,kzb,M9,20
82,kzb,M10,43
83,kzb,M11,22
84,kzb,M12,23
85,kzb,M13,0
86,kzb,M14,7
87,kzb,M15,1
88,kzb,M16,29
89,kzb,M17,24
90,upj,M0,2
91,upj,M1,3
92,upj,M2,0
93,upj,M3,0
94,upj,M4,1
95,upj,M5,0
96,upj,M6,0
97,upj,M7,0
98,upj,M8,0
99,upj,M9,0
100,upj,M10,0
101,upj,M11,0
102,upj,M12,0
103,upj,M13,0
104,upj,M14,0
105,upj,M15,0
106,upj,M16,0
107,upj,M17,0
108,uhu,M0,5
109,uhu,M1,12
110,uhu,M2,2
111,uhu,M3,2
112,uhu,M4,0
113,uhu,M5,7
114,uhu,M6,11
115,uhu,M7,0
116,uhu,M8,2
117,uhu,M9,10
118,uhu,M10,17
119,uhu,M11,9
120,uhu,M12,11
121,uhu,M13,9
122,uhu,M14,18
123,uhu,M15,2
124,uhu,M16,24
125,uhu,M17,12
126,aqk,M0,3
127,aqk,M1,5
128,aqk,M2,2
129,aqk,M3,2
130,aqk,M4,0
131,aqk,M5,2
132,aqk,M6,2
133,aqk,M7,0
134,aqk,M8,2
135,aqk,M9,3
136,aqk,M10,14
137,aqk,M11,3
138,aqk,M12,3
139,aqk,M13,3
140,aqk,M14,5
141,aqk,M15,4
142,aqk,M16,8
143,aqk,M17,5
144,vyn,M0,4
145,vyn,M1,3
146,vyn,M2,2
147,vyn,M3,2
148,vyn,M4,0
149,vyn,M5,3
150,vyn,M6,6
151,vyn,M7,0
152,vyn,M8,2
153,vyn,M9,0
154,vyn,M10,0
155,vyn,M11,0
156,vyn,M12,0
157,vyn,M13,0
158,vyn,M14,0
159,vyn,M15,0
160,vyn,M16,0
161,vyn,M17,0
162,uje,M0,3
163,uje,M1,2
164,uje,M2,2
165,uje,M3,1
166,uje,M4,3
167,uje,M5,3
168,uje,M6,24
169,uje,M7,0
170,uje,M8,2
171,uje,M9,11
172,uje,M10,17
173,uje,M11,12
174,uje,M12,11
175,uje,M13,2
176,uje,M14,3
177,uje,M15,2
178,uje,M16,19
179,uje,M17,11
180,yor,M0,8
181,yor,M1,16
182,yor,M2,2
183,yor,M3,3
184,yor,M4,0
185,yor,M5,8
186,yor,M6,4
187,yor,M7,7
188,yor,M8,2
189,yor,M9,6
190,yor,M10,12
191,yor,M11,6
192,yor,M12,8
193,yor,M13,0
194,yor,M14,13
195,yor,M15,0
196,yor,M16,4
197,yor,M17,7
198,flv,M0,0
199,flv,M1,1
200,flv,M2,2
201,flv,M3,2
202,flv,M4,1
203,flv,M5,2
204,flv,M6,20
205,flv,M7,0
206,flv,M8,2
207,flv,M9,1
208,flv,M10,44
209,flv,M11,1
210,flv,M12,1
211,flv,M13,0
212,flv,M14,4
213,flv,M15,0
214,flv,M16,6
215,flv,M17,1
216,eue,M0,8
217,eue,M1,9
218,eue,M2,2
219,eue,M3,4
220,eue,M4,0
221,eue,M5,6
222,eue,M6,8
223,eue,M7,0
224,eue,M8,2
225,eue,M9,2
226,eue,M10,6
227,eue,M11,2
228,eue,M12,4
229,eue,M13,2
230,eue,M14,7
231,eue,M15,2
232,eue,M16,7
233,eue,M17,5
234,sfi,M0,2
235,sfi,M1,2
236,sfi,M2,2
237,sfi,M3,3
238,sfi,M4,3
239,sfi,M5,4
240,sfi,M6,3
241,sfi,M7,0
242,sfi,M8,2
243,sfi,M9,1
244,sfi,M10,17
245,sfi,M11,1
246,sfi,M12,3
247,sfi,M13,0
248,sfi,M14,6
249,sfi,M15,0
250,sfi,M16,12
251,sfi,M17,4
252,qzr,M0,4
253,qzr,M1,8
254,qzr,M2,2
255,qzr,M3,2
256,qzr,M4,0
257,qzr,M5,0
258,qzr,M6,3
259,qzr,M7,0
260,qzr,M8,2
261,qzr,M9,5
262,qzr,M10,5
263,qzr,M11,5
264,qzr,M12,5
265,qzr,M13,0
266,qzr,M14,9
267,qzr,M15,2
268,qzr,M16,6
269,qzr,M17,7
270,kcl,M0,10
271,kcl,M1,9
272,kcl,M2,2
273,kcl,M3,0
274,kcl,M4,2
275,kcl,M5,4
276,kcl,M6,2
277,kcl,M7,0
278,kcl,M8,2
279,kcl,M9,0
280,kcl,M10,7
281,kcl,M11,0
282,kcl,M12,0
283,kcl,M13,0
284,kcl,M14,10
285,kcl,M15,2
286,kcl,M16,10
287,kcl,M17,2
288,bio,M0,8
289,bio,M1,9
290,bio,M2,0
291,bio,M3,0
292,bio,M4,0
293,bio,M5,0
294,bio,M6,0
295,bio,M7,0
296,bio,M8,0
297,bio,M9,0
298,bio,M10,2
299,bio,M11,0
300,bio,M12,0
301,bio,M13,0
302,bio,M14,0
303,bio,M15,0
304,bio,M16,0
305,bio,M17,0
306,gde,M0,3
307,gde,M1,4
308,gde,M2,2
309,gde,M3,2
310,gde,M4,5
311,gde,M5,6
312,gde,M6,9
313,gde,M7,4
314,gde,M8,2
315,gde,M9,2
316,gde,M10,8
317,gde,M11,2
318,gde,M12,2
319,gde,M13,0
320,gde,M14,9
321,gde,M15,3
322,gde,M16,14
323,gde,M17,4
324,trq,M0,2
325,trq,M1,4
326,trq,M2,2
327,trq,M3,4
328,trq,M4,0
329,trq,M5,19
330,trq,M6,6
331,trq,M7,0
332,trq,M8,2
333,trq,M9,6
334,trq,M10,22
335,trq,M11,6
336,trq,M12,8
337,trq,M13,2
338,trq,M14,28
339,trq,M15,0
340,trq,M16,9
341,trq,M17,9
342,zuz,M0,2
343,zuz,M1,1
344,zuz,M2,2
345,zuz,M3,0
346,zuz,M4,1
347,zuz,M5,3
348,zuz,M6,18
349,zuz,M7,1
350,zuz,M8,2
351,zuz,M9,0
352,zuz,M10,6
353,zuz,M11,0
354,zuz,M12,0
355,zuz,M13,0
356,zuz,M14,4
357,zuz,M15,4
358,zuz,M16,3
359,zuz,M17,2
