,Student,Milestone,Attempts
0,irk,M0,13
1,irk,M1,4
2,irk,M2,3
3,irk,M3,2
4,irk,M4,3
5,irk,M5,6
6,irk,M6,10
7,irk,M7,0
8,irk,M8,6
9,irk,M9,4
10,irk,M10,0
11,irk,M11,2
12,irk,M12,0
13,irk,M13,3
14,irk,M14,0
15,irk,M15,0
16,irk,M16,3
17,irk,M17,2
18,jop,M0,7
19,jop,M1,1
20,jop,M2,0
21,jop,M3,0
22,jop,M4,0
23,jop,M5,0
24,jop,M6,0
25,jop,M7,0
26,jop,M8,0
27,jop,M9,0
28,jop,M10,0
29,jop,M11,0
30,jop,M12,0
31,jop,M13,0
32,jop,M14,0
33,jop,M15,0
34,jop,M16,0
35,jop,M17,0
36,iws,M0,1
37,iws,M1,0
38,iws,M2,8
39,iws,M3,0
40,iws,M4,4
41,iws,M5,4
42,iws,M6,10
43,iws,M7,0
44,iws,M8,7
45,iws,M9,0
46,iws,M10,0
47,iws,M11,0
48,iws,M12,0
49,iws,M13,0
50,iws,M14,0
51,iws,M15,0
52,iws,M16,0
53,iws,M17,2
54,cpe,M0,1
55,cpe,M1,2
56,cpe,M2,0
57,cpe,M3,0
58,cpe,M4,0
59,cpe,M5,0
60,cpe,M6,0
61,cpe,M7,0
62,cpe,M8,0
63,cpe,M9,0
64,cpe,M10,0
65,cpe,M11,0
66,cpe,M12,0
67,cpe,M13,0
68,cpe,M14,0
69,cpe,M15,0
70,cpe,M16,0
71,cpe,M17,0
72,dzg,M0,2
73,dzg,M1,0
74,dzg,M2,3
75,dzg,M3,0
76,dzg,M4,4
77,dzg,M5,5
78,dzg,M6,9
79,dzg,M7,0
80,dzg,M8,7
81,dzg,M9,0
82,dzg,M10,0
83,dzg,M11,6
84,dzg,M12,0
85,dzg,M13,0
86,dzg,M14,0
87,dzg,M15,0
88,dzg,M16,0
89,dzg,M17,3
90,qvj,M0,2
91,qvj,M1,1
92,qvj,M2,0
93,qvj,M3,0
94,qvj,M4,0
95,qvj,M5,0
96,qvj,M6,0
97,qvj,M7,0
98,qvj,M8,0
99,qvj,M9,0
100,qvj,M10,0
101,qvj,M11,0
102,qvj,M12,0
103,qvj,M13,0
104,qvj,M14,0
105,qvj,M15,0
106,qvj,M16,0
107,qvj,M17,0
108,ube,M0,5
109,ube,M1,0
110,ube,M2,4
111,ube,M3,3
112,ube,M4,3
113,ube,M5,5
114,ube,M6,13
115,ube,M7,0
116,ube,M8,5
117,ube,M9,0
118,ube,M10,0
119,ube,M11,0
120,ube,M12,3
121,ube,M13,3
122,ube,M14,0
123,ube,M15,2
124,ube,M16,0
125,ube,M17,2
126,oxi,M0,2
127,oxi,M1,0
128,oxi,M2,2
129,oxi,M3,2
130,oxi,M4,1
131,oxi,M5,3
132,oxi,M6,3
133,oxi,M7,0
134,oxi,M8,4
135,oxi,M9,0
136,oxi,M10,2
137,oxi,M11,0
138,oxi,M12,0
139,oxi,M13,2
140,oxi,M14,0
141,oxi,M15,0
142,oxi,M16,5
143,oxi,M17,2
144,oij,M0,4
145,oij,M1,0
146,oij,M2,2
147,oij,M3,2
148,oij,M4,1
149,oij,M5,4
150,oij,M6,7
151,oij,M7,0
152,oij,M8,4
153,oij,M9,0
154,oij,M10,0
155,oij,M11,0
156,oij,M12,0
157,oij,M13,0
158,oij,M14,0
159,oij,M15,0
160,oij,M16,0
161,oij,M17,0
162,siq,M0,2
163,siq,M1,0
164,siq,M2,2
165,siq,M3,0
166,siq,M4,0
167,siq,M5,0
168,siq,M6,53
169,siq,M7,0
170,siq,M8,9
171,siq,M9,0
172,siq,M10,0
173,siq,M11,0
174,siq,M12,0
175,siq,M13,4
176,siq,M14,2
177,siq,M15,0
178,siq,M16,0
179,siq,M17,0
180,wra,M0,12
181,wra,M1,0
182,wra,M2,6
183,wra,M3,5
184,wra,M4,0
185,wra,M5,13
186,wra,M6,11
187,wra,M7,0
188,wra,M8,9
189,wra,M9,0
190,wra,M10,3
191,wra,M11,0
192,wra,M12,0
193,wra,M13,0
194,wra,M14,0
195,wra,M15,0
196,wra,M16,0
197,wra,M17,0
198,peh,M0,0
199,peh,M1,0
200,peh,M2,5
201,peh,M3,0
202,peh,M4,1
203,peh,M5,4
204,peh,M6,21
205,peh,M7,0
206,peh,M8,4
207,peh,M9,0
208,peh,M10,0
209,peh,M11,0
210,peh,M12,0
211,peh,M13,0
212,peh,M14,0
213,peh,M15,0
214,peh,M16,0
215,peh,M17,0
216,ljz,M0,10
217,ljz,M1,0
218,ljz,M2,2
219,ljz,M3,2
220,ljz,M4,3
221,ljz,M5,8
222,ljz,M6,10
223,ljz,M7,0
224,ljz,M8,5
225,ljz,M9,0
226,ljz,M10,0
227,ljz,M11,0
228,ljz,M12,0
229,ljz,M13,3
230,ljz,M14,0
231,ljz,M15,0
232,ljz,M16,0
233,ljz,M17,2
234,fgh,M0,4
235,fgh,M1,0
236,fgh,M2,2
237,fgh,M3,3
238,fgh,M4,0
239,fgh,M5,5
240,fgh,M6,4
241,fgh,M7,0
242,fgh,M8,5
243,fgh,M9,0
244,fgh,M10,0
245,fgh,M11,0
246,fgh,M12,0
247,fgh,M13,0
248,fgh,M14,0
249,fgh,M15,0
250,fgh,M16,0
251,fgh,M17,2
252,jfj,M0,5
253,jfj,M1,0
254,jfj,M2,2
