,Student,Milestone,Time
264,jfj,M12,0
265,jfj,M13,0
266,jfj,M14,0
267,jfj,M15,0
268,jfj,M16,118
269,jfj,M17,185
270,crw,M0,0
271,crw,M1,0
272,crw,M2,1045
273,crw,M3,0
274,crw,M4,134
275,crw,M5,59
276,crw,M6,25
277,crw,M7,0
278,crw,M8,4117
279,crw,M9,0
280,crw,M10,0
281,crw,M11,0
282,crw,M12,0
283,crw,M13,0
284,crw,M14,191
285,crw,M15,0
286,crw,M16,1391
287,crw,M17,0
288,cev,M0,72
289,cev,M1,0
290,cev,M2,0
291,cev,M3,0
292,cev,M4,0
293,cev,M5,0
294,cev,M6,0
295,cev,M7,0
296,cev,M8,0
297,cev,M9,0
298,cev,M10,0
299,cev,M11,0
300,cev,M12,0
301,cev,M13,0
302,cev,M14,0
303,cev,M15,0
304,cev,M16,0
305,cev,M17,0
306,zge,M0,0
307,zge,M1,0
308,zge,M2,514
309,zge,M3,120
310,zge,M4,0
311,zge,M5,52
312,zge,M6,204
313,zge,M7,0
314,zge,M8,4372
315,zge,M9,0
316,zge,M10,0
317,zge,M11,0
318,zge,M12,0
319,zge,M13,0
320,zge,M14,0
321,zge,M15,0
322,zge,M16,0
323,zge,M17,-16
324,zow,M0,0
325,zow,M1,0
326,zow,M2,460
327,zow,M3,2490
328,zow,M4,4
329,zow,M5,53
330,zow,M6,71
331,zow,M7,0
332,zow,M8,294
333,zow,M9,0
334,zow,M10,124
335,zow,M11,0
336,zow,M12,0
337,zow,M13,1565
338,zow,M14,3008
339,zow,M15,0
340,zow,M16,0
341,zow,M17,0
342,jgu,M0,0
343,jgu,M1,0
344,jgu,M2,2954
345,jgu,M3,0
346,jgu,M4,116
347,jgu,M5,4045
348,jgu,M6,3
349,jgu,M7,0
350,jgu,M8,34
351,jgu,M9,0
352,jgu,M10,0
353,jgu,M11,0
354,jgu,M12,0
355,jgu,M13,0
356,jgu,M14,0
357,jgu,M15,0
358,jgu,M16,197
359,jgu,M17,0
